NAME AS PUBLISHED,GENCODE ID,Oncogene(o) or TumourSupp(t),Cancer Type CLC2,Evidence level,CLC Version Number,analysis_subtype,PMID REFERENCE,CISelement publication,Cancer Type with CIS,CIS function,CIS location mouse GRCm38/mm10,whole CIS location human hg38
TMEM75,ENSG00000280055,o,colon ,tvpm,2,CLC2lit,29964097,Guo2016-01 Rangel2016-01 Kodama2016-02 Koso2012-01 ,colon blood breast liver neuroepithelial ,NotDetermined,15:62037986-62378096 15:62037987-62250975 ,chr8:127794497-128222804 chr8:127794498-128084689 
LOC284454,ENSG00000267519,ot,nasopharyngeal breast ,tvp,2,CLC2lit,30380023 29227193 ,,nasopharyngeal breast ,,,
ZFPM2-AS1,ENSG00000251003,o,stomach ,tvp,2,CLC2lit,29985481,,stomach ,,,
TNRC6C-AS1,ENSG00000204282,o,thyroid ,tv,2,CLC2lit,29893424,,thyroid ,,,
TPTE2P1,ENSG00000253771,o,colon ,tvp,2,CLC2lit,30382596,,colon ,,,
RP11-115N4.1,ENSG00000243144,t,breast ,tv,2,CLC2lit,30417392,,breast ,,,
SCARNA2,ENSG00000278249,o,colon ,tp,2,CLC2lit,30443961,,colon ,,,
CARMN,ENSG00000249669,t,urothelial ,tvpm,2,CLC2lit,30471109,Guo2016-01 ,urothelial blood ,NotDetermined,18:61639653-61647485 18:61645878-61665538 ,chr5:149431093-149440245 chr5:149406835-149432833
LINC00844,ENSG00000237949,t,prostate ,tp,2,CLC2lit,30115758,,prostate ,,,
B4GALT1-AS1,ENSG00000233554,o,bone ,t,2,CLC2lit,30182452,,bone ,,,
TTTY15,ENSG00000233864,o,prostate ,tv,2,CLC2lit,30527798,,prostate ,,,
SAP30L-AS1,ENSG00000245275,o,prostate ,tvp,2,CLC2lit,30599235,,prostate ,,,
NR2F2-AS1,ENSG00000247809,o,lung ,tvp,2,CLC2lit,30592135,,lung ,,,
FAM201A,ENSG00000204860,o,esophageal ,tvp,2,CLC2lit,30574162,,esophageal ,,,
GIHCG,ENSG00000257698,o,ovarian tongue ,tp,2,CLC2lit,30556850 29953645 ,,ovarian tongue ,,,
A1BG-AS1,ENSG00000268895,t,liver ,tp,2,CLC2lit,30556161,,liver ,,,
B3GALT5-AS1,ENSG00000184809,o,colon ,tvp,2,CLC2lit,30530918,,colon ,,,
HOXD-AS2,ENSG00000237380,o,neuroepithelial ,tvp,2,CLC2lit,30485495,,neuroepithelial ,,,
GAS8-AS1,ENSG00000221819,t,thyroid liver ,tp,2,CLC2lit,29327301 30228180,,thyroid liver ,,,
TMPO-AS1,ENSG00000257167,o,prostate ,tp,2,CLC2lit,30105831,,prostate ,,,
LINC00472,ENSG00000233237,t,lung liver ,tpm,2,CLC2lit,30175664 30522853,Rahrmann2013-01 ,lung liver neuroepithelial blood ,NotDetermined,1:23272269-23272339 1:23291701-23291784 ,chr6:71403550-71403621 chr6:71376954-71377038 
PICSAR,ENSG00000275874,o,skin,t,2,CLC2lit,27049681 30429154 ,,skin,,,
DDN-AS1,ENSG00000257913,o,cervical ,tp,2,CLC2lit,30582201,,cervical ,,,
LINC00324,ENSG00000178977,o,lung ,tp,2,CLC2lit,30556874,,lung ,,,
JPX,ENSG00000225470,o,ovarian ,tp,2,CLC2lit,30556851,,ovarian ,,,
BNC2-AS1,ENSG00000234779,o,stomach ,t,2,CLC2lit,30549996,,stomach ,,,
LINC01503,ENSG00000233901,o,colon esophageal ,tv,2,CLC2lit,30542444 29454790 ,,colon esophageal ,,,
HOXC13-AS,ENSG00000249641,o,nasopharyngeal ,tp,2,CLC2lit,30536950,,nasopharyngeal ,,,
LINC00165,ENSG00000261706,o,stomach ,tp,2,CLC2lit,30448060,,stomach ,,,
DSCAM-AS1,ENSG00000235123,o,breast ,tp,2,CLC2lit,30430768,,breast ,,,
CA3-AS1,ENSG00000253549,t,colon ,t,2,CLC2lit,30415006,,colon ,,,
GACAT1,ENSG00000232991,o,stomach ,t,2,CLC2lit,30405842,,stomach ,,,
LINC01384,ENSG00000237396,t,esophageal ,tp,2,CLC2lit,30402846,,esophageal ,,,
HOXB-AS3,ENSG00000233101,o,liver ,t,2,CLC2lit,30402841,,liver ,,,
LINC02487,ENSG00000203688,t,oral,tp,2,CLC2lit,30364063,,oral,,,
LINC02231,ENSG00000248995,t,esophageal ,tp,2,CLC2lit,28157654,,esophageal ,,,
RP13-650J16.1,ENSG00000264569,o,prostate ,t,2,CLC2lit,30279207,,prostate ,,,
LOXL1-AS1,ENSG00000261801,o,prostate neuroepithelial ,t,2,CLC2lit,30278884 30050750 29678575 ,,prostate neuroepithelial ,,,
NKX2-1-AS1,ENSG00000253563,o,lung ,t,2,CLC2lit,30258080,,lung ,,,
MIF-AS1,ENSG00000218537,o,stomach ,t,2,CLC2lit,30238562,,stomach ,,,
DLG1-AS1,ENSG00000227375,o,cervical ,t,2,CLC2lit,30231238,,cervical ,,,
EZR-AS1,ENSG00000233893,o,breast esophageal ,t,2,CLC2lit,30186463 29253179 ,,breast esophageal ,,,
CALML3-AS1,ENSG00000205488,o,urothelial ,tp,2,CLC2lit,30177388,,urothelial ,,,
NAP1L6,ENSG00000204118,o,prostate ,tp,2,CLC2lit,30154665,,prostate ,,,
SNHG4,ENSG00000281398,o,bone ,tp,2,CLC2lit,30152090,,bone ,,,
RAB11B-AS1,ENSG00000269386,t,bone ,tv,2,CLC2lit,30139005,,bone ,,,
LINC01852,ENSG00000236914,t,stomach ,t,2,CLC2lit,30138664,,stomach ,,,
HOXA10‑AS,ENSG00000253187,o,neuroepithelial ,t,2,CLC2lit,30132568,,neuroepithelial ,,,
LINC01260,ENSG00000283440,t,neuroepithelial ,t,2,CLC2lit,30071522,,neuroepithelial ,,,
PROX1-AS1,ENSG00000230461,o,thyroid ,t,2,CLC2lit,30061172,,thyroid ,,,
LOC101930370,ENSG00000245213,o,breast ,t,2,CLC2lit,30041193,,breast ,,,
KCNK15-AS1,ENSG00000244558,t,pancreas ,t,2,CLC2lit,30032148,,pancreas ,,,
OGFRP1,ENSG00000182057,o,liver lung ,t,2,CLC2lit,29997441 30274775 ,,liver lung ,,,
LINC01612,ENSG00000250266,t,stomach ,t,2,CLC2lit,29991048,,stomach ,,,
LINC00222,ENSG00000203801,t,lung ,t,2,CLC2lit,29990868,,lung ,,,
ITGB2-AS1,ENSG00000227039,o,breast ,t,2,CLC2lit,29941860,,breast ,,,
LINC01561,ENSG00000177234,o,breast ,t,2,CLC2lit,29890225,,breast ,,,
LINC00599,ENSG00000253230,o,prostate ,tp,2,CLC2lit,29887969,,prostate ,,,
TRERNA1,ENSG00000231265,o,stomach ,t,2,CLC2lit,29845218,,stomach ,,,
LINC01121,ENSG00000205054,o,pancreas ,t,2,CLC2lit,29843149,,pancreas ,,,
LOC105376609,ENSG00000254489,t,thyroid ,t,2,CLC2lit,29783666,,thyroid ,,,
LINC01703,ENSG00000225518,o,liver ,tp,2,CLC2lit,29776974,,liver ,,,
SIRLNT,ENSG00000253802,o,breast ,tp,2,CLC2lit,29752439,,breast ,,,
VIM-AS1,ENSG00000229124,o,colon ,t,2,CLC2lit,29656793,,colon ,,,
LINC01510,ENSG00000231210,o,colon ,tp,2,CLC2lit,29581707,,colon ,,,
LINC01614,ENSG00000230838,o,colon ,tp,2,CLC2lit,29565488,,colon ,,,
DLEU7-AS1,ENSG00000237152,o,colon ,tp,2,CLC2lit,29364477,,colon ,,,
LINC02159,ENSG00000253417,t,colon ,tp,2,CLC2lit,29098557,,colon ,,,
LINC00539,ENSG00000224429,t,colon ,tp,2,CLC2lit,29050940,,colon ,,,
LINC00470,ENSG00000132204,o,neuroepithelial ,tv,2,CLC2lit,29866190,,neuroepithelial ,,,
BISPR,ENSG00000282851,o,thyroid ,tv,2,CLC2lit,29856242,,thyroid ,,,
GUARDIN,ENSG00000234546,o,lung colon bone,tv,2,CLC2lit,29593331,,lung colon bone,,,
LINC01116,ENSG00000163364,o,breast ,t,2,CLC2lit,30378143,,breast ,,,
LINC00662,ENSG00000261824,o,lung ,t,2,CLC2lit,30256974,,lung ,,,
MYCNOS-01,ENSG00000233718,o,neuroepithelial ,t,2,CLC2lit,29466962,,neuroepithelial ,,,
PDCD4-AS1,ENSG00000203497,t,breast ,t,2,CLC2lit,30496290,,breast ,,,
ARAP1-AS1,ENSG00000256007,t,urothelial ,t,2,CLC2lit,30404578,,urothelial ,,,
PCAT19,ENSG00000267107,o,prostate ,g,2,CLC2lit,30033362,,prostate ,,,
lncGPR107,ENSG00000196979,o,liver ,tv,2,CLC2lit,29925408,,liver ,,,
LOC105372429,ENSG00000268186,o,lung ,g,2,CLC2lit,29881308,,lung ,,,
MAPK6-DT,ENSG00000259438,o,liver ,tv,2,CLC2lit,29764463,,liver ,,,
LINC00554,ENSG00000260738,o,liver ,tv,2,CLC2lit,29588366,,liver ,,,
Linc00210,ENSG00000231814,o,liver ,tv,2,CLC2lit,29540185,,liver ,,,
BAALC-AS1,ENSG00000247081,o,liver ,tv,2,CLC2lit,29535420,,liver ,,,
IFNG-AS1,ENSG00000255733,o,pituitary ,t,2,CLC2lit,30322807,,pituitary ,,,
LINC01446,ENSG00000205628,o,neuroepithelial ,tvp,2,CLC2lit,30029885,,neuroepithelial ,,,
RN7SK,ENSG00000283293,t,kidney ,t,2,CLC2lit,25492483,,kidney ,,,
LINC00970,ENSG00000203601,t,lung ,t,2,CLC2lit,27445486,,lung ,,,
LOC100507477,ENSG00000236013,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,10:16906427-17095807 ,chr6:139991318-140145445 
CEP83-DT,ENSG00000278916,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,10:94673493-94688613 ,chr12:94459992-94475113
AC015936.2,ENSG00000267788,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,11:102958300-102964387,chr17:44981085-44989345
SOX9-AS1,ENSG00000234899,n/a,,m,2,CLC2mut,,March2011-01,colon ,NotDetermined,11:112819693-112945674,chr17:72159921-72295757
AC110285.6,ENSG00000275966,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,11:120185400-120189852,chr17:81341138-81345952
AC003101.1,ENSG00000228768,n/a,,m,2,CLC2mut,,Bard-Chapeau2014-01,liver ,NotDetermined,11:79726399-79726511,chr17:31575409-31575521
AC011921.1,ENSG00000259349,n/a,,m,2,CLC2mut,,Bard-Chapeau2014-01 Guo2016-01 ,liver blood ,NotDetermined,11:85235165-85238303 11:85235171-85238304 ,chr17:60526270-60528294 chr17:60526278-60528294 
TSPOAP1-AS1,ENSG00000265148,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,11:87756864-87756927,chr17:58331242-58331306
AC004687.1,ENSG00000265206,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,11:87756864-87756927,chr17:58331242-58331306
AL512791.2,ENSG00000275198,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,12:100187968-100193540,chr14:90383668-90389700
MEG8,ENSG00000225746,n/a,,m,2,CLC2mut,,Kodama2016-01 Bard-Chapeau2014-01 ,liver ,NotDetermined,12:109603940-109661716 12:109603944-109661709 12:109611499-109611595 12:109611500-109611595 12:109611822-109611941 12:109618257-109618336 12:109618258-109618336 12:109636012-109636080  12:109649617-109649687 ,chr14:100894873-100950989 chr14:100894877-100950989 chr14:100903326-100903372 chr14:100903327-100903372 chr14:100903596-100903724 chr14:100911137-100911217 chr14:100911138-100911217 chr14:100939555-100939626 chr14:100949832-100949903 
AL117190.1,ENSG00000258399,n/a,,m,2,CLC2mut,,Kodama2016-01 Bard-Chapeau2014-01 ,liver ,NotDetermined,12:109603940-109661716 12:109603944-109661709 12:109611499-109611595 12:109611500-109611595 12:109611822-109611941 12:109618257-109618336 12:109618258-109618336 12:109636012-109636080 ,chr14:100894873-100950989 chr14:100894877-100950989 chr14:100903326-100903372 chr14:100903327-100903372 chr14:100903596-100903724 chr14:100911137-100911217 chr14:100911138-100911217 chr14:100939555-100939626
MEG9,ENSG00000223403,n/a,,m,2,CLC2mut,,Genovesi2013-01 ,neuroepithelial ,NotDetermined,12:109734980-109749457,chr14:101055496-101072936
LINC00570,ENSG00000224177,n/a,cervical ,mv,2,CLC2mut,tba,Perna2015-02 ,skin ,NotDetermined,12:16853387-16853387,chr2:11394362-11394363
AL132639.3,ENSG00000259083,n/a,,m,2,CLC2mut,,Bard-Chapeau2014-01 ,liver ,NotDetermined,12:59066835-59066835,chr14:39175113-39175114
LINC01588,ENSG00000214900,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,12:69464787-69475550,chr14:49989620-50002012
LINC02525,ENSG00000230269,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,13:34084155-34113272,chr6:3176256-3210044
LINC02603,ENSG00000230262,n/a,,m,2,CLC2mut,,Morris2016-01 Takeda2015-02 Bard-Chapeau2014-01 Guo2016-01 Kodama2016-01 Rahrmann2013-01 Rahrmann2013-02 ,colon liver blood neuroepithelial ,NotDetermined,13:48534231-48551231 13:48534750-48540600  13:48536011-48536114,chr9:94157988-94180147 chr9:94173315-94180147 chr9:94178822-94178929 
AL158152.1,ENSG00000269929,n/a,,m,2,CLC2mut,,Morris2016-01 Takeda2015-02 ,colon ,NotDetermined,13:48534231-48551231 13:48534750-48540600  ,chr9:94157988-94180147 chr9:94173315-94180147
AL158152.2,ENSG00000269946,n/a,,m,2,CLC2mut,,Morris2016-01 Takeda2015-02 Bard-Chapeau2014-01 Guo2016-01  Kodama2016-01 Rahrmann2013-01 Rahrmann2013-02 ,colon liver blood neuroepithelial ,NotDetermined,13:48534231-48551231 13:48534750-48540600  13:48536011-48536114 13:48538178-48538272 13:48538179-48538272 ,chr9:94157988-94180147 chr9:94173315-94180147 chr9:94178822-94178929 chr9:94175949-94176044 chr9:94175949-94176043 
AL158071.1,ENSG00000229694,n/a,,m,2,CLC2mut,,March2011-01,colon ,NotDetermined,13:52679446-52814174,chr9:90969084-91182806
AL158071.2,ENSG00000230537,n/a,,m,2,CLC2mut,,March2011-01,colon ,NotDetermined,13:52679446-52814174,chr9:90969084-91182806
LINC00484,ENSG00000235641,n/a,,m,2,CLC2mut,,March2011-01,colon ,NotDetermined,13:52679446-52814174,chr9:90969084-91182806
AL158071.3,ENSG00000237422,n/a,,m,2,CLC2mut,,March2011-01,colon ,NotDetermined,13:52679446-52814174,chr9:90969084-91182806
AL355607.2,ENSG00000260454,n/a,,m,2,CLC2mut,,March2011-01,colon ,NotDetermined,13:52679446-52814174,chr9:90969084-91182806
LOC105379057,ENSG00000250320,n/a,,m,2,CLC2mut,,Rad2015-01,pancreas ,NotDetermined,13:88798909-88814909,chr5:84390316-84404482
MIR17HG,ENSG00000215417,o,cervical ,mc,2,CLC2mut,27980086,Rad2015-01 Rahrmann2013-02 ,pancreas neuroepithelial cervical ,NotDetermined,14:115029757-115055757 14:115042879-115046727  14:115043671-115043754 14:115043851-115043946 14:115044000-115044081 14:115044157-115044263 14:115044305-115044391 14:115044427-115044506 ,chr13:91328109-91363768 chr13:91349692-91354592 chr13:91350604-91350688 chr13:91350739-91350835 chr13:91350890-91350972 chr13:91351045-91351152 chr13:91351191-91351278 chr13:91351313-91351391 
SMIM2-AS1,ENSG00000227258,n/a,,m,2,CLC2mut,,Giotopoulos2016-01,blood ,NotDetermined,14:76622706-76692822,chr13:44238670-44307424
AL589745.1,ENSG00000230731,n/a,,m,2,CLC2mut,,Giotopoulos2016-01,blood ,NotDetermined,14:76622706-76692822,chr13:44238670-44307424
AC023509.4,ENSG00000270175,n/a,,m,2,CLC2mut,,PerezMancera2012-02,pancreas ,NotDetermined,15:102517584-102517584,chr12:53500255-53500256
AC025754.2,ENSG00000271874,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,15:10714836-10790123,chr5:34582996-34656175
AZIN1-AS1,ENSG00000253320,n/a,,m,2,CLC2mut,,Guo2016-01,blood ,NotDetermined,15:38549344-38594934,chr8:102903093-102946295
Z93241.1,ENSG00000270022,n/a,,m,2,CLC2mut,,Bard-Chapeau2014-01,liver ,NotDetermined,15:83149644-83149794,chr22:42615243-42615393
MIRLET7BHG,ENSG00000197182,n/a,,m,2,CLC2mut,,Morris2016-01 Takeda2015-03 PerezMancera2012-02 Bard-Chapeau2014-01 5:85706602-85706697 Guo2016-01 Kodama2016-01 ,colon pancreas liver blood ,NotDetermined,15:85661770-85713770 15:85679781-85692860 15:85684552-85684552 15:85707318-85707402 15:85707319-85707403 ,chr22:46062246-46118691 chr22:46080684-46097141 chr22:46085343-46085344 chr22:46113683-46113768 chr22:46113684-46113769 
AL121672.2,ENSG00000235159,n/a,,m,2,CLC2mut,,Morris2016-01,colon ,NotDetermined,15:85661770-85713770,chr22:46062246-46118691
AC008124.1,ENSG00000273015,n/a,,m,2,CLC2mut,,Takeda2015-01,colon,NotDetermined,15:96275923-96280294,chr12:45717417-45721442
AC000095.13/DGCR5,ENSG00000283406,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,16:17833119-17835019,chr22:19029031-19031244
LINC02028,ENSG00000230102,n/a,,m,2,CLC2mut,,VanderWeyden2011-01,blood,NotDetermined,16:29977595-29977595,chr3:194035428-194035429
LINC00636,ENSG00000240423,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,16:50019658-50072852,chr3:107900593-107949182
AJ009632.2,ENSG00000229425,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,16:76819583-77010897,chr21:15500765-15726671
MIR155HG,ENSG00000234883,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,16:84714140-84714204,chr21:25573979-25574044
LINC01700,ENSG00000232837,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,16:95831123-95929077,chr21:38970530-39092479
AF064858.1,ENSG00000235888,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,16:95831123-95929077,chr21:38970530-39092479
AF064858.2,ENSG00000237609,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,16:95831123-95929077,chr21:38970530-39092479
AF064858.3,ENSG00000237721,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,16:95831123-95929077,chr21:38970530-39092479
LINC00243,ENSG00000214894,n/a,,m,2,CLC2mut,,March2011-01,colon,NotDetermined,17:35737032-35801065,chr6:30772955-30819845
HCG20,ENSG00000228022,n/a,,m,2,CLC2mut,,March2011-01 Guo2016-01,colon blood ,NotDetermined,17:35737032-35801065 17:35772450-35780687,chr6:30772955-30819845 chr6:30781445-30787919 
AC010754.1,ENSG00000265752,n/a,,m,2,CLC2mut,,Chen2017-01,breast,NotDetermined,18:12585933-12597451,chr18:23957387-23965477
AC016866.1,ENSG00000264269,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,18:75288655-75297329,chr18:49026937-49040400
AP003721.2,ENSG00000256733,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,19:10740947-10786043,chr11:61030085-61092355
ENTPD1-AS1,ENSG00000226688,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,19:40868386-40874071,chr10:96087173-96091692
AL353719.1,ENSG00000260475,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,19:43675178-43677170,chr10:99620768-99626203
ADD3-AS1,ENSG00000203876,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,19:53076218-53084392,chr10:109957102-109964072
AL158212.1,ENSG00000225292,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,19:55640589-55702204,chr10:112833615-112900519
AL354863.1,ENSG00000238276,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,19:60144675-60162591,chr10:118241581-118261057
MIR194-2HG,ENSG00000229719,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,19:6264643-6264728,chr11:64891354-64891441
AC017074.1,ENSG00000227359,n/a,,m,2,CLC2mut,,Giotopoulos2016-02,blood,NotDetermined,1:125603828-125636269,chr2:113678529-113703644
AL596218.1,ENSG00000237074,n/a,,m,2,CLC2mut,,Collier2005-01,sarcoma,NotDetermined,1:130489429-130512289,chr1:207287379-207298556
LINC00862,ENSG00000203721,n/a,,m,2,CLC2mut,,Kodama2016-02,liver,NotDetermined,1:136670769-136690804,chr1:200351290-200369114
AC104461.1,ENSG00000230623,n/a,,m,2,CLC2mut,,Kodama2016-02,liver,NotDetermined,1:136670769-136690804,chr1:200351290-200369114
MIR181A1HG,ENSG00000229989,n/a,,m,2,CLC2mut,,Guo2016-01 Rahrmann2013-01,blood neuroepithelial ,NotDetermined,1:137966455-137966541,chr1:198859056-198859143
MIR29B2CHG,ENSG00000203709,n/a,,m,2,CLC2mut,,Been2014-01,blood,Gain,1:194982400-195032400,chr1:207807893-207862666
AC087473.1,ENSG00000259380,n/a,,m,2,CLC2mut,,March2011-01,colon,NotDetermined,2:117094032-117108797,chr15:38224819-38242591
AL359091.1,ENSG00000207955,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,2:29845631-29845727,chr9:128392617-128392714
AP000662.1,ENSG00000254602,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,2:84741115-84741178,chr11:57641209-57641274
AC087276.2,ENSG00000254907,n/a,,m,2,CLC2mut,,Bard-Chapeau2014-01,liver,NotDetermined,2:94406706-94411678,chr11:43344578-43358914
AC004704.1,ENSG00000249815,n/a,,m,2,CLC2mut,,Starr2011-01,colon,NotDetermined,3:127994420-128027117,chr4:112005003-112042952
AL357078.1,ENSG00000231485,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,4:101353783-101399181,chr1:65064380-65119264
FLJ37453,ENSG00000179743,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,4:141546189-141547892,chr1:15833740-15835836
AF117829.1,ENSG00000251136,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,4:16164110-16266225,chr8:89688116-89757549
AC004895.1,ENSG00000231704,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,5:143758354-143764942,chr7:6078640-6081358
LINC01004,ENSG00000228393,n/a,,m,2,CLC2mut,,Guo2016-01 Morris2016-01 Kodama2016-01 ,blood colon liver,NotDetermined,5:23382308-23434269,chr7:104935263-105014015
AC007384.1,ENSG00000237513,n/a,,m,2,CLC2mut,,Guo2016-01 Morris2016-01 Kodama2016-01 ,blood colon liver,NotDetermined,5:23382308-23434269,chr7:104935263-105014015
KMT2E-AS1,ENSG00000239569,n/a,,m,2,CLC2mut,,Guo2016-01 Morris2016-01 Kodama2016-01 ,blood colon liver,NotDetermined,5:23382308-23434269,chr7:104935263-105014015
LINC02473,ENSG00000261121,n/a,,m,2,CLC2mut,,Kodama2016-01,liver,NotDetermined,5:52190672-52279034,chr4:24584714-24699147
AC087241.1,ENSG00000250166,n/a,,m,2,CLC2mut,,Rad2015-01,pancreas,NotDetermined,6:143143449-143159449,chr12:22588055-22610071
AC087241.3,ENSG00000257023,n/a,,m,2,CLC2mut,,Rad2015-01,pancreas,NotDetermined,6:143143449-143159449,chr12:22588055-22610071
AC084819.1,ENSG00000256923,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,6:143245888-143297272,chr12:22738355-22809538
AC084816.1,ENSG00000256995,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,6:143245888-143297272,chr12:22738355-22809538
LINC00513,ENSG00000233559,n/a,,m,2,CLC2mut,,Bard-Chapeau2014-01 Rad2015-01 ,liver pancreas ,NotDetermined,6:31062660-31062747 6:31063022-31063093 6:31077120-31093120 ,chr7:130876734-130876822 chr7:130877463-130877535 chr7:130899064-130918550 
AC016831.6,ENSG00000285106,o,,mc,2,CLC2mut,27980086,Bard-Chapeau2014-01 Rad2015-01 ,liver pancreas neuroepithelial ,NotDetermined,6:31062660-31062747 6:31063022-31063093 6:31077120-31093120 ,chr7:130876734-130876822 chr7:130877463-130877535 chr7:130899064-130918550 
AC005091.1,ENSG00000229893,n/a,,m,2,CLC2mut,,Takeda2015-03,colon,NotDetermined,6:52648531-52707460,chr7:27674792-27734318
AC092287.1,ENSG00000260352,n/a,,m,2,CLC2mut,,Guo2016-01 Kodama2016-01 Bard-Chapeau2014-01 ,blood liver ,NotDetermined,7:118243865-118245551,chr16:18926533-18928127
AP000439.1,ENSG00000255606,n/a,,m,2,CLC2mut,,VanderWeyden2013-01,blood,NotDetermined,7:145003977-145082245,chr11:69373974-69484234
AP000439.2,ENSG00000255774,n/a,,m,2,CLC2mut,,VanderWeyden2013-01,blood,NotDetermined,7:145003977-145082245,chr11:69373974-69484234
AP000439.3,ENSG00000255980,n/a,,m,2,CLC2mut,,VanderWeyden2013-01,blood,NotDetermined,7:145003977-145082245,chr11:69373974-69484234
AP005233.1,ENSG00000259854,n/a,,m,2,CLC2mut,,VanderWeyden2013-01,blood,NotDetermined,7:145003977-145082245,chr11:69373974-69484234
AP000439.4,ENSG00000261347,n/a,,m,2,CLC2mut,,VanderWeyden2013-01,blood,NotDetermined,7:145003977-145082245,chr11:69373974-69484234
LINC01488,ENSG00000285094,n/a,,m,2,CLC2mut,,VanderWeyden2013-01,blood,NotDetermined,7:145003977-145082245,chr11:69373974-69484234
AC008794.1,ENSG00000267407,n/a,,m,2,CLC2mut,,March2011-01,colon,NotDetermined,7:36465514-36600907,chr19:31428031-31586528
AC008794.2,ENSG00000267599,n/a,,m,2,CLC2mut,,March2011-01,colon,NotDetermined,7:36465514-36600907,chr19:31428031-31586528
AC036108.1,ENSG00000259475,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,7:67784538-67804139,chr15:99058672-99080752
RAB30-AS1,ENSG00000246067,n/a,,m,2,CLC2mut,,Bard-Chapeau2014-01,liver,NotDetermined,7:92738747-92738747,chr11:83078239-83078240
AP001767.3,ENSG00000255503,n/a,,m,2,CLC2mut,,Bard-Chapeau2014-01,liver,NotDetermined,7:92738747-92738747,chr11:83078239-83078240
AL360294.1,ENSG00000279261,n/a,,m,2,CLC2mut,,March2011-01,colon,NotDetermined,8:126683408-126780188,chr1:234745368-234878276
AC084026.1,ENSG00000253182,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,8:34589420-34640316,chr8:29547348-29594479
AC084026.3,ENSG00000280147,n/a,,m,2,CLC2mut,,Guo2016-01,blood,NotDetermined,8:34589420-34640316,chr8:29547348-29594479
AC103957.1,ENSG00000253505,n/a,,m,2,CLC2mut,,Rad2015-01,pancreas,NotDetermined,8:36026467-36078467,chr8:8414097-8486089
AC103957.2,ENSG00000254153,n/a,,m,2,CLC2mut,,Rad2015-01,pancreas,NotDetermined,8:36026467-36078467,chr8:8414097-8486089
LINC02427,ENSG00000271538,n/a,,m,2,CLC2mut,,Guo2016-01 Kodama2016-01 ,blood liver ,NotDetermined,8:46668808-46739515,chr4:184474795-184572211
AC099343.3,ENSG00000271646,n/a,,m,2,CLC2mut,,Guo2016-01 Kodama2016-01 ,blood liver ,NotDetermined,8:46668808-46739515,chr4:184474795-184572211
AC097103.2,ENSG00000248932,n/a,,m,2,CLC2mut,,Bard-Chapeau2014-01,liver,NotDetermined,9:98562459-98563611,chr3:139389766-139391510
EPB41L4A−AS1,ENSG00000224032,o,,c,2,CLC2crispr,27980086,,neuroepithelial blood ,,,
AP005717.1,ENSG00000245330,o,,c,2,CLC2crispr,27980086,,cervical ,,,
LAMTOR5−AS1,ENSG00000224699,o,,c,2,CLC2crispr,27980086,,cervical ,,,
LINC00263,ENSG00000235823,o,,c,2,CLC2crispr,27980086,,neuroepithelial ,,,
LINC00680,ENSG00000215190,o,,c,2,CLC2crispr,27980086,,neuroepithelial ,,,
